Work experience,Education,Company size,Amount,Designation,Currency,Status,Year
0_to_1,bachelors_degree,50_to_100,140160,associate_devops_engineer,LKR,approved,2022
10_to_14,bachelors_degree,more_than_500,120000,senior_development_manager,LKR,approved,2022
1_to_3,bachelors_degree,100_to_500,240000,software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,100_to_500,272000,software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,50_to_100,384000,senior_software_engineer,LKR,approved,2022
0_to_1,bachelors_degree,20_to_50,289200,software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,more_than_500,295000,software_engineer,LKR,approved,2022
0_to_1,bachelors_degree,100_to_500,240000,software_engineer,LKR,approved,2022
7_to_9,bachelors_degree,50_to_100,726400,technical_lead,LKR,approved,2022
7_to_9,bachelors_degree,below_10,496000,technical_lead,LKR,approved,2022
10_to_14,masters,50_to_100,150000,technical_lead,LKR,approved,2022
15+,masters,20_to_50,4800000,CTO,LKR,approved,2022
1_to_3,bachelors_degree,50_to_100,500000,senior_devops_engineer,LKR,approved,2022
7_to_9,bachelors_degree,more_than_500,450000,senior_qa_lead,LKR,approved,2022
7_to_9,bachelors_degree,10_to_20,700000,senior_qa_lead,LKR,approved,2022
1_to_3,bachelors_degree,20_to_50,316800,qa_engineer,LKR,approved,2022
0_to_1,bachelors_degree,more_than_500,260000,software_engineer,LKR,approved,2022
0_to_1,bachelors_degree,10_to_20,100000,junior_machine_learning_engineer,LKR,approved,2022
0_to_1,higher_diploma,50_to_100,25000,ui_ux_engineer,LKR,approved,2022
1_to_3,bachelors_degree,10_to_20,180000,software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,20_to_50,169600,ui_ux_engineer,LKR,approved,2022
1_to_3,bachelors_degree,100_to_500,165170,software_engineer,LKR,approved,2022
1_to_3,diploma,20_to_50,60000,associate_ui_ux_engineer,LKR,approved,2022
1_to_3,higher_diploma,50_to_100,80000,software_engineer,LKR,approved,2022
4_to_6,bachelors_degree,more_than_500,110000,technical_lead,LKR,approved,2021
4_to_6,bachelors_degree,20_to_50,400000,technical_consultant,LKR,approved,2022
1_to_3,bachelors_degree,100_to_500,150000,business_analyst,LKR,approved,2022
0_to_1,bachelors_degree,100_to_500,64000,Internship,LKR,approved,2022
1_to_3,bachelors_degree,100_to_500,20000,associate_software_engineer,LKR,approved,2022
0_to_1,bachelors_degree,20_to_50,25000,Internship,LKR,approved,2022
0_to_1,bachelors_degree,20_to_50,20000,associate_software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,50_to_100,95000,quality_assurance_engineer,LKR,approved,2022
1_to_3,bachelors_degree,100_to_500,253000,software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,50_to_100,150000,senior_quality_assurance_engineer,LKR,approved,2022
0_to_1,bachelors_degree,100_to_500,35000,Internship,LKR,approved,2022
1_to_3,bachelors_degree,50_to_100,130000,business_analyst,LKR,approved,2022
0_to_1,bachelors_degree,100_to_500,80000,associate_quality_assurance_engineer,LKR,approved,2022
0_to_1,bachelors_degree,50_to_100,100000,software_engineer,LKR,approved,2022
0_to_1,bachelors_degree,more_than_500,30000,Internship,LKR,approved,2022
0_to_1,bachelors_degree,20_to_50,15000,Internship,LKR,approved,2022
0_to_1,bachelors_degree,10_to_20,35000,business_analyst,LKR,approved,2022
0_to_1,bachelors_degree,100_to_500,20000,Internship,LKR,approved,2022
1_to_3,bachelors_degree,50_to_100,70000,associate_software_engineer,LKR,approved,2022
0_to_1,bachelors_degree,20_to_50,20000,Internship,LKR,approved,2022
1_to_3,bachelors_degree,100_to_500,80000,technical_lead,LKR,approved,2022
1_to_3,bachelors_degree,50_to_100,190000,senior_quality_assurance_engineer,LKR,approved,2022
0_to_1,bachelors_degree,10_to_20,30000,Internship,LKR,approved,2022
0_to_1,bachelors_degree,100_to_500,31360,Internship,LKR,approved,2022
0_to_1,bachelors_degree,20_to_50,22000,ui_ux_engineer,LKR,approved,2022
1_to_3,bachelors_degree,more_than_500,20000,qa_engineer,LKR,approved,2022
0_to_1,bachelors_degree,more_than_500,30000,software_engineer,LKR,approved,2022
0_to_1,bachelors_degree,more_than_500,30000,associate_technical_lead,LKR,approved,2022
1_to_3,bachelors_degree,more_than_500,30000,software_engineer,LKR,approved,2022
4_to_6,bachelors_degree,more_than_500,30000,software_engineer,LKR,approved,2022
4_to_6,bachelors_degree,100_to_500,30000,network_engineer,LKR,approved,2022
4_to_6,bachelors_degree,100_to_500,30000,quality_assurance_lead,LKR,approved,2022
1_to_3,bachelors_degree,more_than_500,30000,qa_engineer,LKR,approved,2022
1_to_3,bachelors_degree,more_than_500,40000,software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,more_than_500,40000,associate_technical_lead,LKR,approved,2022
0_to_1,bachelors_degree,more_than_500,40000,associate_technical_lead,LKR,approved,2022
4_to_6,bachelors_degree,100_to_500,40000,software_engineer,LKR,approved,2022
4_to_6,bachelors_degree,100_to_500,40000,senior_software_engineer,LKR,approved,2022
4_to_6,bachelors_degree,more_than_500,40000,software_engineer,LKR,approved,2022
4_to_6,bachelors_degree,100_to_500,40000,quality_assurance_lead,LKR,approved,2022
1_to_3,bachelors_degree,more_than_500,50000,associate_technical_lead,LKR,approved,2022
1_to_3,bachelors_degree,more_than_500,50000,software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,100_to_500,50000,software_engineer,LKR,approved,2022
4_to_6,bachelors_degree,100_to_500,50000,network_engineer,LKR,approved,2022
0_to_1,bachelors_degree,more_than_500,50000,associate_technical_lead,LKR,approved,2022
4_to_6,bachelors_degree,100_to_500,50000,software_engineer,LKR,approved,2022
4_to_6,bachelors_degree,more_than_500,60000,software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,more_than_500,60000,network_engineer,LKR,approved,2022
0_to_1,bachelors_degree,more_than_500,60000,qa_engineer,LKR,approved,2022
0_to_1,bachelors_degree,more_than_500,60000,network_engineer,LKR,approved,2022
4_to_6,bachelors_degree,more_than_500,60000,network_engineer,LKR,approved,2022
0_to_1,bachelors_degree,more_than_500,60000,associate_architecture,LKR,approved,2022
4_to_6,bachelors_degree,more_than_500,60000,associate_architecture,LKR,approved,2022
4_to_6,bachelors_degree,more_than_500,60000,qa_engineer,LKR,approved,2022
0_to_1,bachelors_degree,100_to_500,60000,software_engineer,LKR,approved,2022
0_to_1,bachelors_degree,more_than_500,60000,software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,100_to_500,60000,quality_assurance_lead,LKR,approved,2022
1_to_3,bachelors_degree,more_than_500,60000,associate_technical_lead,LKR,approved,2022
4_to_6,bachelors_degree,100_to_500,60000,senior_software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,100_to_500,60000,software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,more_than_500,70000,software_engineer,LKR,approved,2022
4_to_6,bachelors_degree,more_than_500,70000,software_engineer,LKR,approved,2022
0_to_1,bachelors_degree,more_than_500,70000,software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,100_to_500,70000,software_engineer,LKR,approved,2022
4_to_6,bachelors_degree,100_to_500,70000,software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,100_to_500,70000,network_engineer,LKR,approved,2022
0_to_1,bachelors_degree,100_to_500,70000,senior_software_engineer,LKR,approved,2022
0_to_1,bachelors_degree,more_than_500,70000,qa_engineer,LKR,approved,2022
4_to_6,bachelors_degree,more_than_500,70000,qa_engineer,LKR,approved,2022
4_to_6,bachelors_degree,more_than_500,70000,associate_architecture,LKR,approved,2022
0_to_1,bachelors_degree,100_to_500,70000,software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,more_than_500,70000,senior_software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,100_to_500,70000,technical_lead,LKR,approved,2022
1_to_3,bachelors_degree,100_to_500,70000,quality_assurance_lead,LKR,approved,2022
4_to_6,bachelors_degree,more_than_500,80000,senior_software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,more_than_500,80000,software_engineer,LKR,approved,2022
4_to_6,bachelors_degree,more_than_500,80000,software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,more_than_500,80000,qa_engineer,LKR,approved,2022
0_to_1,bachelors_degree,more_than_500,80000,network_engineer,LKR,approved,2022
4_to_6,bachelors_degree,more_than_500,80000,network_engineer,LKR,approved,2022
1_to_3,bachelors_degree,more_than_500,80000,associate_architecture,LKR,approved,2022
0_to_1,bachelors_degree,more_than_500,80000,software_engineer,LKR,approved,2022
4_to_6,bachelors_degree,100_to_500,80000,senior_software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,100_to_500,80000,software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,more_than_500,80000,network_engineer,LKR,approved,2022
0_to_1,bachelors_degree,100_to_500,80000,senior_software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,more_than_500,80000,senior_software_engineer,LKR,approved,2022
4_to_6,bachelors_degree,100_to_500,80000,software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,more_than_500,90000,software_engineer,LKR,approved,2022
0_to_1,bachelors_degree,100_to_500,90000,quality_assurance_lead,LKR,approved,2022
4_to_6,bachelors_degree,more_than_500,90000,software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,100_to_500,90000,software_engineer,LKR,approved,2022
4_to_6,bachelors_degree,100_to_500,90000,senior_software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,more_than_500,90000,qa_engineer,LKR,approved,2022
1_to_3,bachelors_degree,100_to_500,90000,technical_lead,LKR,approved,2022
0_to_1,bachelors_degree,more_than_500,90000,software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,100_to_500,90000,network_engineer,LKR,approved,2022
0_to_1,bachelors_degree,more_than_500,90000,architecture,LKR,approved,2022
7_to_9,bachelors_degree,more_than_500,90000,senior_software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,100_to_500,90000,senior_software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,more_than_500,100000,architecture,LKR,approved,2022
4_to_6,bachelors_degree,more_than_500,100000,software_engineer,LKR,approved,2022
0_to_1,bachelors_degree,more_than_500,100000,architecture,LKR,approved,2022
4_to_6,bachelors_degree,more_than_500,100000,senior_software_engineer,LKR,approved,2022
0_to_1,bachelors_degree,more_than_500,100000,software_engineer,LKR,approved,2022
4_to_6,bachelors_degree,more_than_500,100000,architecture,LKR,approved,2022
4_to_6,bachelors_degree,more_than_500,100000,technical_lead,LKR,approved,2022
1_to_3,bachelors_degree,more_than_500,100000,network_engineer,LKR,approved,2022
1_to_3,bachelors_degree,100_to_500,100000,technical_lead,LKR,approved,2022
1_to_3,bachelors_degree,100_to_500,100000,software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,more_than_500,100000,software_engineer,LKR,approved,2022
0_to_1,bachelors_degree,more_than_500,100000,senior_software_engineer,LKR,approved,2022
7_to_9,bachelors_degree,more_than_500,100000,senior_software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,100_to_500,100000,senior_software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,more_than_500,100000,senior_software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,more_than_500,110000,architecture,LKR,approved,2022
0_to_1,bachelors_degree,more_than_500,110000,software_engineer,LKR,approved,2022
0_to_1,bachelors_degree,more_than_500,110000,architecture,LKR,approved,2022
0_to_1,bachelors_degree,100_to_500,110000,network_engineer,LKR,approved,2022
4_to_6,bachelors_degree,more_than_500,110000,technical_lead,LKR,approved,2022
0_to_1,bachelors_degree,100_to_500,110000,quality_assurance_lead,LKR,approved,2022
1_to_3,bachelors_degree,more_than_500,110000,network_engineer,LKR,approved,2022
7_to_9,bachelors_degree,more_than_500,110000,senior_software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,more_than_500,120000,software_engineer,LKR,approved,2022
0_to_1,bachelors_degree,100_to_500,120000,software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,more_than_500,120000,architecture,LKR,approved,2022
0_to_1,bachelors_degree,100_to_500,120000,technical_lead,LKR,approved,2022
4_to_6,bachelors_degree,more_than_500,130000,associate_technical_lead,LKR,approved,2022
0_to_1,bachelors_degree,more_than_500,130000,architecture,LKR,approved,2022
4_to_6,bachelors_degree,more_than_500,130000,architecture,LKR,approved,2022
1_to_3,bachelors_degree,more_than_500,140000,software_engineer,LKR,approved,2022
4_to_6,bachelors_degree,more_than_500,140000,software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,more_than_500,140000,architecture,LKR,approved,2022
0_to_1,bachelors_degree,more_than_500,140000,architecture,LKR,approved,2022
0_to_1,bachelors_degree,100_to_500,140000,network_engineer,LKR,approved,2022
0_to_1,bachelors_degree,100_to_500,140000,technical_lead,LKR,approved,2022
1_to_3,bachelors_degree,more_than_500,150000,architecture,LKR,approved,2022
0_to_1,bachelors_degree,100_to_500,150000,software_engineer,LKR,approved,2022
0_to_1,bachelors_degree,100_to_500,150000,senior_software_engineer,LKR,approved,2022
0_to_1,bachelors_degree,more_than_500,160000,software_engineer,LKR,approved,2022
4_to_6,bachelors_degree,more_than_500,170000,associate_technical_lead,LKR,approved,2022
4_to_6,bachelors_degree,more_than_500,170000,software_engineer,LKR,approved,2022
0_to_1,bachelors_degree,100_to_500,170000,technical_lead,LKR,approved,2022
4_to_6,bachelors_degree,more_than_500,180000,associate_technical_lead,LKR,approved,2022
4_to_6,bachelors_degree,more_than_500,180000,software_engineer,LKR,approved,2022
0_to_1,bachelors_degree,100_to_500,180000,senior_software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,more_than_500,190000,software_engineer,LKR,approved,2022
4_to_6,bachelors_degree,more_than_500,200000,senior_software_engineer,LKR,approved,2022
4_to_6,bachelors_degree,more_than_500,200000,architecture,LKR,approved,2022
4_to_6,bachelors_degree,more_than_500,210000,associate_technical_lead,LKR,approved,2022
4_to_6,bachelors_degree,more_than_500,210000,software_engineer,LKR,approved,2022
4_to_6,bachelors_degree,more_than_500,210000,architecture,LKR,approved,2022
0_to_1,bachelors_degree,100_to_500,210000,technical_lead,LKR,approved,2022
4_to_6,bachelors_degree,more_than_500,220000,associate_technical_lead,LKR,approved,2022
4_to_6,bachelors_degree,more_than_500,240000,senior_software_engineer,LKR,approved,2022
4_to_6,bachelors_degree,more_than_500,260000,architecture,LKR,approved,2022
4_to_6,bachelors_degree,more_than_500,310000,architecture,LKR,approved,2022
