Work experience,Education,Company size,Amount,Designation,Currency,Status,Year
1_to_3,bachelors_degree,20_to_50,95000,associate_software_engineer,LKR,approved,2022
4_to_6,bachelors_degree,20_to_50,368000,senior_software_engineer,LKR,approved,2022
4_to_6,bachelors_degree,50_to_100,448000,senior_business_analyst,LKR,approved,2022
1_to_3,bachelors_degree,100_to_500,250000,devops_engineer,LKR,approved,2022
1_to_3,bachelors_degree,20_to_50,100000,associate_devops_engineer,LKR,approved,2021
0_to_1,diploma,20_to_50,110000,associate_software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,10_to_20,85000,software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,more_than_500,120000,associate_software_engineer,LKR,approved,2022
4_to_6,bachelors_degree,100_to_500,210000,senior_software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,50_to_100,15000,senior_frontend_engineer,LKR,approved,2021
4_to_6,bachelors_degree,10_to_20,480000,lead_security_engineer,LKR,approved,2022
1_to_3,bachelors_degree,50_to_100,140000,soc_engineer,LKR,approved,2022
0_to_1,bachelors_degree,50_to_100,150000,software_engineer,LKR,approved,2022
15+,masters,100_to_500,960000,senior_product_manager,LKR,approved,2022
1_to_3,bachelors_degree,50_to_100,285120,software_engineer,LKR,approved,2022
1_to_3,masters,100_to_500,206960,technical_trainer,LKR,approved,2022
1_to_3,diploma,more_than_500,120000,software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,more_than_500,160000,associate_software_engineer,LKR,approved,2022
0_to_1,bachelors_degree,100_to_500,120000,network_engineer,LKR,approved,2022
1_to_3,bachelors_degree,20_to_50,197000,frontend_developer,LKR,approved,2022
10_to_14,masters,more_than_500,272000,senior_qa_lead,LKR,approved,2022
7_to_9,masters,10_to_20,385000,associate_technical_lead,LKR,approved,2022
1_to_3,bachelors_degree,50_to_100,100000,software_engineer,LKR,approved,2022
4_to_6,bachelors_degree,more_than_500,330000,senior_software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,more_than_500,550400,senior_software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,more_than_500,80000,associate_software_engineer,LKR,approved,2022
4_to_6,bachelors_degree,100_to_500,108120,software_engineer,LKR,approved,2022
15+,masters,10_to_20,650000,architecture,LKR,approved,2022
4_to_6,bachelors_degree,50_to_100,544000,senior_system_engineer,LKR,approved,2022
4_to_6,bachelors_degree,50_to_100,200000,associate_technical_lead,LKR,approved,2022
4_to_6,bachelors_degree,100_to_500,350000,software_engineer,LKR,approved,2022
4_to_6,higher_diploma,50_to_100,256000,senior_software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,more_than_500,85000,associate_software_engineer,LKR,approved,2022
4_to_6,diploma,20_to_50,230000,senior_system_engineer,LKR,approved,2022
7_to_9,bachelors_degree,100_to_500,570000,technical_lead,LKR,approved,2022
4_to_6,bachelors_degree,20_to_50,870400,senior_technical_lead,LKR,approved,2022
4_to_6,bachelors_degree,more_than_500,270000,senior_software_engineer,LKR,approved,2022
4_to_6,bachelors_degree,more_than_500,300000,senior_ui_ux_engineer,LKR,approved,2022
10_to_14,masters,20_to_50,896000,technical_lead,LKR,approved,2022
4_to_6,bachelors_degree,more_than_500,133000,senior_qa_engineer,LKR,approved,2021
1_to_3,bachelors_degree,50_to_100,145000,software_engineer,LKR,approved,2022
4_to_6,bachelors_degree,100_to_500,481000,technical_lead,LKR,approved,2022
1_to_3,bachelors_degree,100_to_500,110000,software_engineer,LKR,approved,2022
0_to_1,bachelors_degree,50_to_100,398000,software_engineer,LKR,approved,2022
7_to_9,bachelors_degree,100_to_500,636000,associate_qa_architect,LKR,approved,2022
4_to_6,bachelors_degree,more_than_500,230000,system_engineer,LKR,approved,2022
4_to_6,bachelors_degree,more_than_500,230000,senior_software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,below_10,400000,associate_technical_lead,LKR,approved,2022
10_to_14,higher_diploma,20_to_50,832000,senior_software_engineer,LKR,approved,2022
